,start station name,end station name,tripduration,usertype,gender
552850,W 39 St & 9 Ave,W 37 St & 10 Ave,466,Subscriber,2
308290,Ashland Pl & Hanson Pl,Barclay St & Church St,1557,Subscriber,1
556848,E 48 St & Madison Ave,E 31 St & 3 Ave,702,Subscriber,2
410733,Broadway & E 14 St,W 38 St & 8 Ave,528,Subscriber,2
236571,W 33 St & 7 Ave,E 47 St & 2 Ave,651,Subscriber,1
6418,Vesey Pl & River Terrace,St Marks Pl & 2 Ave,2562,Subscriber,2
318157,Old Slip & Front St,12 Ave & W 40 St,1319,Subscriber,1
267404,W 41 St & 8 Ave,W 47 St & 10 Ave,919,Subscriber,1
413353,Cleveland Pl & Spring St,Cleveland Pl & Spring St,786,Subscriber,2
400160,Rivington St & Ridge St,Mercer St & Spring St,779,Subscriber,1
246161,E 17 St & Broadway,E 39 St & 2 Ave,1068,Subscriber,1
62036,Fulton St & Clermont Ave,Ashland Pl & Hanson Pl,602,Subscriber,1
544137,Clermont Ave & Park Ave,State St & Smith St,838,Subscriber,1
493148,W 25 St & 6 Ave,Mott St & Prince St,1606,Subscriber,2
264085,Lexington Ave & E 29 St,2 Ave & E 31 St,1216,Subscriber,1
505737,W 27 St & 7 Ave,W 24 St & 7 Ave,1391,Subscriber,1
443268,Bialystoker Pl & Delancey St,E 2 St & Avenue C,269,Subscriber,1
56822,W 56 St & 6 Ave,Mercer St & Bleecker St S,239,Subscriber,1
545106,W 49 St & 8 Ave,Mercer St & Bleecker St S,311,Subscriber,2
316279,W 41 St & 8 Ave,Broadway & W 49 St,263,Subscriber,1
326748,Mercer St & Bleecker St S,W 33 St & 7 Ave,1061,Subscriber,1
523018,2 Ave & E 58 St,Hicks St & Montague St,1079,Subscriber,1
271259,Grand Army Plaza & Central Park S,NYCBS Depot - SSP,672,Subscriber,1
473854,Broadway & W 24 St,Central Park S & 6 Ave,376,Subscriber,1
520920,E 17 St & Broadway,Dean St & 4 Ave,728,Subscriber,1
175765,St Marks Pl & 2 Ave,E 17 St & Broadway,1032,Subscriber,1
512959,Broadway & E 14 St,LaGuardia Pl & W 3 St,750,Subscriber,1
415620,Washington Pl & Broadway,,1164,Subscriber,1
490333,Broadway & W 53 St,10 Ave & W 28 St,3602,Subscriber,1
54782,E 19 St & 3 Ave,Broadway & W 51 St,1011,Subscriber,1
526711,Columbia St & Rivington St,University Pl & E 14 St,617,Subscriber,1
326011,Clark St & Henry St,Cadman Plaza West & Montague St,217,Subscriber,1
180807,Lafayette Ave & St James Pl,Pearl St & Anchorage Pl,2539,Subscriber,1
309026,W 59 St & 10 Ave,W 43 St & 6 Ave,825,Subscriber,1
392743,2 Ave & E 58 St,Carlton Ave & Park Ave,939,Subscriber,1
486760,W 22 St & 10 Ave,Broadway & E 22 St,559,Subscriber,1
449380,Liberty St & Broadway,E 10 St & 5 Ave,1484,Subscriber,2
304960,Lafayette St & E 8 St,E 58 St & 3 Ave,825,Subscriber,1
279249,Washington Pl & 6 Ave,Washington Pl & 6 Ave,142,Subscriber,2
351829,Greenwich St & North Moore St,W 16 St & The High Line,1054,Subscriber,1
237385,E 23 St & 1 Ave,,1926,Subscriber,2
443224,Metropolitan Ave & Bedford Ave,Broadway & Berry St,317,Subscriber,1
79338,Centre St & Chambers St,W 52 St & 11 Ave,1251,Subscriber,1
317459,E 53 St & Lexington Ave,E 53 St & Lexington Ave,2425,Subscriber,2
164812,Watts St & Greenwich St,Great Jones St,479,Subscriber,1
299852,S 3 St & Bedford Ave,6 Ave & Canal St,1299,Subscriber,2
44321,S Portland Ave & Hanson Pl,Clinton Ave & Myrtle Ave,503,Subscriber,1
452091,Washington Ave & Park Ave,Washington Ave & Park Ave,1036,Subscriber,2
566818,E 3 St & 1 Ave,E 9 St & Avenue C,406,Subscriber,1
388876,6 Ave & W 33 St,E 32 St & Park Ave,227,Subscriber,1
49080,S 3 St & Bedford Ave,South St & Gouverneur Ln,2195,Subscriber,1
419441,E 47 St & 2 Ave,Barrow St & Hudson St,2287,Subscriber,1
516409,W 22 St & 10 Ave,E 32 St & Park Ave,685,Subscriber,2
46620,Bus Slip & State St,Cliff St & Fulton St,292,Subscriber,1
266242,Broadway & W 49 St,Liberty St & Broadway,1807,Subscriber,1
458370,W 27 St & 7 Ave,9 Ave & W 16 St,6951,Subscriber,1
217011,Washington Square E,W 52 St & 11 Ave,228,Subscriber,1
4443,W 56 St & 10 Ave,W 54 St & 9 Ave,318,Subscriber,1
313882,W 45 St & 8 Ave,E 17 St & Broadway,762,Subscriber,1
386125,9 Ave & W 14 St,8 Ave & W 31 St N,418,Subscriber,1
503588,E 20 St & FDR Drive,Washington Pl & Broadway,797,Subscriber,1
274639,Centre St & Worth St,Clinton St & Grand St,761,Subscriber,1
286279,E 20 St & FDR Drive,W 38 St & 8 Ave,2102,Subscriber,2
130809,Bank St & Washington St,,1230,Subscriber,1
187435,Willoughby Ave & Walworth St,2 Ave & E 31 St,1359,Subscriber,1
192328,W 20 St & 11 Ave,Christopher St & Greenwich St,1031,Subscriber,1
3112,South St & Whitehall St,State St & Smith St,703,Subscriber,1
523813,South St & Whitehall St,W 43 St & 10 Ave,1682,Subscriber,1
183567,William St & Pine St,Christopher St & Greenwich St,1646,Subscriber,2
173449,Warren St & Church St,Warren St & Church St,582,Subscriber,1
533933,W 22 St & 10 Ave,E 32 St & Park Ave,843,Subscriber,1
537591,E 10 St & 5 Ave,E 11 St & 1 Ave,397,Subscriber,1
190289,Metropolitan Ave & Bedford Ave,W 14 St & The High Line,2387,Subscriber,1
300675,W 46 St & 11 Ave,E 39 St & 3 Ave,504,Subscriber,1
159185,Henry St & Atlantic Ave,E 27 St & 1 Ave,398,Subscriber,1
95695,Washington Pl & 6 Ave,Washington Pl & 6 Ave,98,Subscriber,1
550683,W 16 St & The High Line,Franklin St & W Broadway,144,Subscriber,1
238140,Pershing Square South,Broadway & Berry St,955,Subscriber,1
90408,Broadway & W 37 St,W 54 St & 9 Ave,1689,Subscriber,2
